20:03:01:159 [ALWAYS]	GUDE Logging Started
20:03:01:159 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:03:01:159 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:03:01:159 [ERROR]	Initialize resume cache pointer failure
20:03:01:160 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:03:01:160 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:03:02:799 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:03:02:799 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:03:02:799 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:03:02:799 [ERROR]	Initialize resume cache pointer failure
20:03:02:799 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:03:02:799 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
